Parameter	Posterior Mean	Posterior Variance	a_post	b_post
As_754-2.whole.wo.indels.fasta.chr-1	4.30914e-06	6.20629e-13	29.9192	6.94318e+06
As_774-1.whole.wo.indels.fasta.chr-1	2.8402e-06	4.09142e-13	19.7162	6.94184e+06
As_CONR4D.whole.wo.indels.fasta.chr-1	3.68435e-06	5.3046e-13	25.5899	6.94557e+06
As_CONRI4.whole.wo.indels.fasta.chr-1	3.87655e-06	5.58315e-13	26.9161	6.94331e+06
As_OONR2J.whole.wo.indels.fasta.chr-1	4.40585e-06	6.34834e-13	30.5773	6.94016e+06
As_T2R3B.whole.wo.indels.fasta.chr-1	5.09078e-06	7.35046e-13	35.2578	6.9258e+06
NODE_49	2.81019e-05	4.12811e-12	191.302	6.80744e+06
NODE_50	3.76557e-05	5.54232e-12	255.842	6.79422e+06
NODE_51	3.57635e-05	5.26858e-12	242.765	6.78807e+06
NODE_52	7.9288e-07	1.14122e-13	5.50865	6.94764e+06
NODE_53	7.01269e-07	1.00935e-13	4.87222	6.94771e+06
NODE_54	9.81073e-07	1.41182e-13	6.81746	6.94898e+06
NODE_55	2.83532e-07	4.08035e-14	1.97019	6.94873e+06
NODE_56	1.11227e-06	1.60071e-13	7.72878	6.94864e+06
NODE_57	2.838e-06	4.08527e-13	19.7154	6.94692e+06
NODE_58	1.28578e-05	1.89507e-12	87.2392	6.7849e+06
NODE_59	4.24679e-05	6.24266e-12	288.903	6.80285e+06
NODE_60	1.78889e-05	2.60847e-12	122.683	6.85803e+06
NODE_61	2.79137e-05	4.07616e-12	191.154	6.84803e+06
NODE_62	3.53056e-05	5.12906e-12	243.025	6.88345e+06
NODE_63	1.45434e-05	2.1086e-12	100.309	6.89719e+06
NODE_64	8.95854e-07	1.28971e-13	6.22275	6.94616e+06
NODE_65	4.18826e-05	6.20148e-12	282.86	6.75364e+06
NODE_66	1.46808e-06	2.1128e-13	10.201	6.94852e+06
NODE_67	8.57853e-06	1.23581e-12	59.5489	6.94162e+06
NODE_68	5.1353e-06	7.47353e-13	35.2862	6.87131e+06
NODE_69	3.21003e-05	4.6887e-12	219.769	6.84633e+06
NODE_70	1.92334e-06	2.76835e-13	13.3625	6.94758e+06
NODE_71	5.47317e-06	7.87698e-13	38.0293	6.94831e+06
NODE_72	6.31861e-05	9.29135e-12	429.699	6.80053e+06
NODE_73	2.26878e-05	3.31936e-12	155.071	6.835e+06
NODE_74	1.50712e-05	2.19333e-12	103.56	6.87137e+06
NODE_75	1.27944e-06	1.84273e-13	8.88334	6.94317e+06
NODE_76	4.2924e-05	6.24342e-12	295.106	6.87508e+06
NODE_77	1.81357e-05	2.62757e-12	125.174	6.90209e+06
NODE_78	9.28886e-06	1.34129e-12	64.3282	6.92531e+06
NODE_79	2.07773e-05	3.04841e-12	141.614	6.81579e+06
NODE_80	2.39935e-06	3.45443e-13	16.6652	6.94571e+06
NODE_81	6.47096e-05	9.53558e-12	439.127	6.78612e+06
NODE_82	3.36308e-05	4.87925e-12	231.804	6.89262e+06
NODE_83	4.17911e-05	6.16746e-12	283.179	6.77606e+06
NODE_84	8.68141e-07	1.24964e-13	6.0311	6.94714e+06
NODE_85	1.11877e-06	1.60985e-13	7.77489	6.94951e+06
NODE_86	2.15227e-06	3.09766e-13	14.9541	6.94805e+06
NODE_87	1.43284e-06	2.06222e-13	9.95539	6.94803e+06
NODE_88	1.15415e-05	1.67308e-12	79.6176	6.89836e+06
NODE_89	2.14014e-05	3.11418e-12	147.076	6.87224e+06
NODE_90	1.82473e-05	2.64718e-12	125.781	6.89312e+06
NODE_91	1.68817e-06	2.43044e-13	11.7259	6.94593e+06
NODE_92	1.4476e-06	2.08324e-13	10.0591	6.94879e+06
NODE_93	1.25839e-06	1.81088e-13	8.74457	6.94903e+06
