Parameter	Posterior Mean	Posterior Variance	a_post	b_post
NODE_54	2.68097e-06	1.0494e-12	6.84928	2.55477e+06
NODE_55	3.09229e-06	1.21075e-12	7.89779	2.55403e+06
NODE_56	2.45217e-06	9.59987e-13	6.26379	2.55438e+06
NODE_57	6.02183e-05	2.45827e-11	147.512	2.44962e+06
NODE_58	4.81896e-05	1.91453e-11	121.295	2.51704e+06
NODE_59	1.83885e-05	7.28132e-12	46.4391	2.52544e+06
NODE_60	3.07093e-06	1.20206e-12	7.84541	2.55473e+06
NODE_61	3.26452e-06	1.27768e-12	8.341	2.55505e+06
NODE_62	9.63775e-06	3.80803e-12	24.3922	2.5309e+06
NODE_63	3.07818e-06	1.20631e-12	7.85469	2.55173e+06
NODE_64	1.62062e-06	6.34466e-13	4.13957	2.55431e+06
NODE_65	2.13603e-06	8.36898e-13	5.45182	2.55232e+06
NODE_66	3.41402e-06	1.33905e-12	8.70431	2.54958e+06
NODE_67	3.07085e-06	1.2028e-12	7.84012	2.55308e+06
NODE_68	1.96147e-05	7.74515e-12	49.6745	2.53251e+06
NODE_69	1.07216e-05	4.22791e-12	27.1891	2.53591e+06
NODE_70	4.97199e-05	1.97856e-11	124.943	2.51293e+06
NODE_71	5.33692e-06	2.09167e-12	13.6172	2.55151e+06
NODE_72	1.10768e-05	4.34367e-12	28.2468	2.55009e+06
NODE_73	4.5856e-05	1.85104e-11	113.599	2.47731e+06
NODE_74	8.00604e-05	3.28404e-11	195.176	2.43786e+06
NODE_75	5.08553e-06	1.99257e-12	12.9796	2.55225e+06
NODE_76	4.64007e-05	1.85225e-11	116.238	2.50509e+06
NODE_77	1.818e-05	7.28412e-12	45.3743	2.49584e+06
NODE_78	3.41066e-06	1.3366e-12	8.70311	2.55174e+06
NODE_79	5.46995e-05	2.17014e-11	137.873	2.52055e+06
NODE_80	1.16426e-05	4.60555e-12	29.432	2.52795e+06
NODE_81	9.15304e-06	3.69602e-12	22.6672	2.47646e+06
NODE_82	7.09774e-06	2.84129e-12	17.7306	2.49807e+06
NODE_83	4.12788e-05	1.63924e-11	103.947	2.51817e+06
NODE_84	3.46927e-05	1.38685e-11	86.7856	2.50155e+06
NODE_85	2.33984e-05	9.39707e-12	58.2611	2.48996e+06
NODE_86	9.51716e-06	3.75031e-12	24.1517	2.5377e+06
NODE_87	4.19182e-05	1.68085e-11	104.538	2.49386e+06
NODE_88	4.40792e-05	1.75043e-11	111	2.51819e+06
NODE_89	5.81444e-05	2.32561e-11	145.371	2.50018e+06
NODE_90	3.16245e-06	1.24111e-12	8.0582	2.54809e+06
NODE_91	1.9816e-06	7.75923e-13	5.06075	2.55387e+06
NODE_92	1.15115e-06	4.51232e-13	2.93672	2.55112e+06
NODE_93	1.23621e-05	4.91681e-12	31.0816	2.51426e+06
