Parameter	Posterior Mean	Posterior Variance	a_post	b_post
As_CONR4D.whole.wo.indels.fasta.chr-9	1.34277e-06	5.79307e-13	3.11239	2.31789e+06
As_CONRI4.whole.wo.indels.fasta.chr-9	3.49738e-06	1.50836e-12	8.10922	2.31866e+06
As_OONR2J.whole.wo.indels.fasta.chr-9	2.97617e-06	1.28359e-12	6.90066	2.31864e+06
As_T2R3B.whole.wo.indels.fasta.chr-9	2.21762e-06	9.565e-13	5.1415	2.31848e+06
NODE_49	1.27407e-06	5.494e-13	2.95457	2.31901e+06
NODE_50	6.18838e-05	2.76012e-11	138.748	2.24207e+06
NODE_51	3.2751e-06	1.41255e-12	7.59358	2.31858e+06
NODE_52	3.79812e-05	1.69004e-11	85.3573	2.24736e+06
NODE_53	1.2741e-06	5.49417e-13	2.95465	2.31901e+06
NODE_54	1.27717e-06	5.50729e-13	2.96184	2.31906e+06
NODE_55	1.58323e-06	6.82692e-13	3.67168	2.3191e+06
NODE_56	5.61701e-05	2.48976e-11	126.722	2.25604e+06
NODE_57	1.39388e-05	6.23501e-12	31.1612	2.23557e+06
NODE_58	2.58702e-05	1.14521e-11	58.4405	2.25899e+06
NODE_59	2.33431e-06	1.0068e-12	5.41221	2.31855e+06
NODE_60	8.52784e-07	3.67744e-13	1.97757	2.31896e+06
NODE_61	4.34102e-07	1.87193e-13	1.00669	2.31901e+06
NODE_62	1.69587e-06	7.31283e-13	3.93276	2.31903e+06
NODE_63	1.28001e-05	5.53224e-12	29.616	2.31373e+06
NODE_64	2.86508e-05	1.2459e-11	65.886	2.29962e+06
NODE_65	3.23377e-05	1.41861e-11	73.7149	2.27954e+06
NODE_66	1.27818e-06	5.51659e-13	2.9615	2.31697e+06
NODE_67	7.4066e-05	3.27081e-11	167.719	2.26446e+06
NODE_68	7.08136e-06	3.05847e-12	16.3956	2.31532e+06
NODE_69	3.05765e-05	1.34102e-11	69.717	2.28009e+06
NODE_70	8.60075e-06	3.75796e-12	19.6843	2.28868e+06
NODE_71	2.2785e-06	9.82849e-13	5.28214	2.31826e+06
NODE_72	7.29372e-05	3.19378e-11	166.569	2.28373e+06
NODE_73	4.32161e-07	1.86351e-13	1.00221	2.31907e+06
NODE_74	8.52523e-07	3.67598e-13	1.97715	2.31918e+06
NODE_75	8.52741e-07	3.67691e-13	1.97766	2.31918e+06
NODE_77	4.31226e-07	1.85952e-13	1.00002	2.31901e+06
NODE_79	2.43136e-06	1.05156e-12	5.62168	2.31215e+06
NODE_80	1.00456e-05	4.34562e-12	23.222	2.31166e+06
NODE_81	4.31226e-07	1.85952e-13	1.00002	2.31901e+06
NODE_82	8.52709e-07	3.67677e-13	1.97758	2.31918e+06
NODE_83	4.39771e-07	1.89763e-13	1.01916	2.31747e+06
NODE_84	8.29632e-06	3.62544e-12	18.985	2.28836e+06
NODE_85	6.18133e-06	2.68344e-12	14.2387	2.30351e+06
NODE_86	4.16723e-05	1.83838e-11	94.4624	2.26679e+06
NODE_88	9.91871e-06	4.33954e-12	22.6708	2.28566e+06
NODE_89	6.94987e-06	3.02661e-12	15.9587	2.29626e+06
NODE_90	5.92731e-05	2.61125e-11	134.545	2.26991e+06
NODE_91	3.44556e-05	1.51505e-11	78.3595	2.27422e+06
NODE_92	4.92945e-05	2.17698e-11	111.62	2.26435e+06
NODE_93	7.33388e-05	3.21323e-11	167.389	2.2824e+06
