Parameter	Posterior Mean	Posterior Variance	a_post	b_post
As_749-3.whole.wo.indels.fasta.chr-2	2.80052e-05	5.59984e-12	140.056	5.00107e+06
As_754-2.whole.wo.indels.fasta.chr-2	2.23027e-06	4.40004e-13	11.3047	5.06874e+06
As_774-1.whole.wo.indels.fasta.chr-2	2.5299e-06	4.99192e-13	12.8215	5.068e+06
As_CONR4D.whole.wo.indels.fasta.chr-2	5.02672e-07	9.91178e-14	2.54928	5.07146e+06
As_CONRI4.whole.wo.indels.fasta.chr-2	1.183e-06	2.33631e-13	5.99021	5.06356e+06
As_OONR2J.whole.wo.indels.fasta.chr-2	1.38851e-06	2.73971e-13	7.03713	5.0681e+06
As_T2R3B.whole.wo.indels.fasta.chr-2	3.93371e-07	7.76286e-14	1.99335	5.06735e+06
NODE_49	4.08487e-05	8.38551e-12	198.988	4.87135e+06
NODE_50	1.60586e-05	3.22272e-12	80.0195	4.98295e+06
NODE_51	7.06073e-06	1.41056e-12	35.3435	5.00564e+06
NODE_52	5.84357e-07	1.15253e-13	2.96281	5.07021e+06
NODE_53	4.33792e-06	8.59405e-13	21.896	5.04758e+06
NODE_54	1.66633e-06	3.29065e-13	8.43807	5.06385e+06
NODE_55	9.7027e-07	1.91333e-13	4.92034	5.0711e+06
NODE_56	6.10007e-06	1.20693e-12	30.831	5.05421e+06
NODE_57	1.1128e-05	2.20022e-12	56.2823	5.0577e+06
NODE_58	5.34721e-06	1.05643e-12	27.0655	5.0616e+06
NODE_59	2.52504e-05	5.02992e-12	126.758	5.02004e+06
NODE_60	2.67071e-06	5.30404e-13	13.4477	5.03525e+06
NODE_61	4.97215e-05	1.00851e-11	245.135	4.93017e+06
NODE_62	1.37669e-06	2.71516e-13	6.98034	5.07038e+06
NODE_63	8.041e-07	1.58564e-13	4.07771	5.07114e+06
NODE_64	8.48007e-07	1.67256e-13	4.29949	5.07011e+06
NODE_65	1.09042e-06	2.15012e-13	5.53004	5.07146e+06
NODE_66	9.3927e-05	1.93132e-11	456.801	4.86336e+06
NODE_67	6.18285e-07	1.22037e-13	3.13246	5.06637e+06
NODE_68	3.75133e-06	7.4218e-13	18.961	5.05448e+06
NODE_69	9.88751e-07	1.95084e-13	5.01133	5.06834e+06
NODE_70	9.95e-07	1.96427e-13	5.04018	5.06551e+06
NODE_71	4.10301e-06	8.11151e-13	20.7541	5.05826e+06
NODE_72	1.75188e-05	3.48241e-12	88.1313	5.03066e+06
NODE_73	5.99033e-06	1.19118e-12	30.1247	5.02889e+06
NODE_74	3.30656e-05	6.60896e-12	165.432	5.00314e+06
NODE_75	2.72742e-05	5.45978e-12	136.247	4.99547e+06
NODE_76	1.98913e-07	3.92428e-14	1.00825	5.06879e+06
NODE_77	7.83361e-05	1.60696e-11	381.873	4.87481e+06
NODE_78	7.88587e-06	1.56471e-12	39.7434	5.03982e+06
NODE_79	1.50459e-05	2.98722e-12	75.7827	5.03677e+06
NODE_80	1.97644e-05	3.93812e-12	99.1922	5.01873e+06
NODE_81	9.27093e-06	1.84234e-12	46.6527	5.03215e+06
NODE_82	1.23356e-05	2.46727e-12	61.6743	4.9997e+06
NODE_83	5.30298e-05	1.06628e-11	263.736	4.97336e+06
NODE_84	3.90399e-07	7.69977e-14	1.97942	5.07026e+06
NODE_85	5.83771e-07	1.15111e-13	2.96051	5.07136e+06
NODE_86	3.89528e-07	7.68024e-14	1.97561	5.07182e+06
NODE_87	2.18447e-06	4.31118e-13	11.0687	5.06698e+06
NODE_88	6.46543e-06	1.27819e-12	32.7039	5.05827e+06
NODE_89	5.81768e-07	1.14702e-13	2.95072	5.07198e+06
NODE_90	3.89483e-07	7.67887e-14	1.97551	5.07214e+06
NODE_91	3.89521e-07	7.68024e-14	1.97554	5.07172e+06
NODE_92	2.99227e-06	5.9007e-13	15.1739	5.07104e+06
NODE_93	5.82266e-07	1.1483e-13	2.95249	5.0707e+06
