Parameter	Posterior Mean	Posterior Variance	a_post	b_post
213-1.whole.wo.indels.fasta.chr-5	2.78508e-06	1.00179e-12	7.74282	2.7801e+06
38-1.whole.wo.indels.fasta.chr-5	3.20527e-06	1.15272e-12	8.9126	2.78061e+06
45-1.whole.wo.indels.fasta.chr-5	4.19429e-06	1.50901e-12	11.6581	2.77951e+06
45-12.whole.wo.indels.fasta.chr-5	5.88304e-06	2.11838e-12	16.338	2.77714e+06
45-13.whole.wo.indels.fasta.chr-5	1.40499e-06	5.05292e-13	3.90667	2.78056e+06
45-4.whole.wo.indels.fasta.chr-5	2.09145e-06	7.52174e-13	5.81535	2.78054e+06
47-10.whole.wo.indels.fasta.chr-5	1.90082e-06	6.83692e-13	5.28469	2.78022e+06
54-1.whole.wo.indels.fasta.chr-5	2.21808e-05	8.0107e-12	61.4162	2.76889e+06
54-10.whole.wo.indels.fasta.chr-5	7.27005e-05	2.72513e-11	193.949	2.66778e+06
736-1.whole.wo.indels.fasta.chr-5	7.8676e-05	2.90189e-11	213.306	2.7112e+06
As_615.whole.wo.indels.fasta.chr-5	4.87689e-06	1.75457e-12	13.5555	2.77953e+06
As_628.whole.wo.indels.fasta.chr-5	6.08713e-06	2.19247e-12	16.9002	2.77638e+06
As_676-1.whole.wo.indels.fasta.chr-5	9.19747e-06	3.31066e-12	25.5519	2.77814e+06
As_687-1.whole.wo.indels.fasta.chr-5	4.14652e-06	1.49223e-12	11.5221	2.77874e+06
As_691-1.whole.wo.indels.fasta.chr-5	3.17697e-06	1.14279e-12	8.83204	2.78002e+06
As_692-1.whole.wo.indels.fasta.chr-5	3.49246e-06	1.25643e-12	9.70788	2.77967e+06
As_711-2.whole.wo.indels.fasta.chr-5	2.37138e-06	8.53203e-13	6.591	2.77939e+06
As_720-3.whole.wo.indels.fasta.chr-5	4.47817e-06	1.61156e-12	12.4438	2.77878e+06
As_732-1.whole.wo.indels.fasta.chr-5	3.63243e-06	1.30718e-12	10.094	2.77884e+06
As_737-1.whole.wo.indels.fasta.chr-5	1.05357e-06	3.78904e-13	2.92955	2.78058e+06
As_739-3.whole.wo.indels.fasta.chr-5	3.28403e-05	1.20157e-11	89.7565	2.73312e+06
As_746-1.whole.wo.indels.fasta.chr-5	5.90059e-06	2.12227e-12	16.4055	2.78032e+06
As_749-3.whole.wo.indels.fasta.chr-5	2.45454e-05	8.94486e-12	67.3546	2.74408e+06
As_754-2.whole.wo.indels.fasta.chr-5	4.2791e-06	1.53988e-12	11.891	2.77885e+06
As_774-1.whole.wo.indels.fasta.chr-5	4.5754e-06	1.64664e-12	12.7133	2.77863e+06
As_CONR4D.whole.wo.indels.fasta.chr-5	3.83669e-06	1.38128e-12	10.6569	2.77763e+06
As_CONRI4.whole.wo.indels.fasta.chr-5	4.23342e-06	1.52376e-12	11.7616	2.77828e+06
As_OONR2J.whole.wo.indels.fasta.chr-5	3.49704e-06	1.25771e-12	9.7235	2.78049e+06
As_T2R3B.whole.wo.indels.fasta.chr-5	6.12424e-06	2.20324e-12	17.0232	2.77965e+06
NODE_49	1.10576e-05	4.00264e-12	30.5473	2.76257e+06
NODE_50	9.24027e-05	3.47875e-11	245.44	2.65621e+06
NODE_51	1.27634e-05	4.66974e-12	34.885	2.73321e+06
NODE_52	2.42603e-05	8.85008e-12	66.5036	2.74125e+06
NODE_53	2.68832e-05	9.79066e-12	73.8159	2.7458e+06
NODE_54	7.41736e-06	2.68279e-12	20.5074	2.76479e+06
NODE_55	5.68209e-05	2.10975e-11	153.033	2.69325e+06
NODE_56	2.10592e-05	7.6717e-12	57.8085	2.74505e+06
NODE_57	2.82598e-06	1.01956e-12	7.83296	2.77177e+06
NODE_58	1.99306e-05	7.41442e-12	53.5753	2.68809e+06
NODE_59	2.44603e-06	8.79521e-13	6.80263	2.78109e+06
NODE_60	0.000135416	5.12848e-11	357.563	2.64047e+06
NODE_61	1.39766e-06	5.02459e-13	3.8878	2.78164e+06
NODE_62	3.59501e-07	1.29239e-13	1.00002	2.78168e+06
NODE_63	2.43633e-06	8.75874e-13	6.77688	2.78159e+06
NODE_64	1.37709e-06	4.95141e-13	3.82999	2.78121e+06
NODE_65	2.95571e-05	1.07778e-11	81.0575	2.74241e+06
NODE_66	3.84972e-06	1.38478e-12	10.7023	2.78001e+06
NODE_67	1.10397e-05	3.98034e-12	30.6193	2.77356e+06
NODE_68	2.16424e-05	7.88781e-12	59.3821	2.74378e+06
NODE_69	2.43709e-06	8.7622e-13	6.77842	2.78136e+06
NODE_70	2.79059e-06	1.00341e-12	7.76097	2.78112e+06
NODE_71	1.21822e-05	4.40996e-12	33.6523	2.76242e+06
NODE_72	2.78036e-05	1.01657e-11	76.044	2.73504e+06
NODE_73	4.85151e-05	1.77799e-11	132.381	2.72866e+06
NODE_74	2.91633e-05	1.06143e-11	80.127	2.74753e+06
NODE_75	1.0579e-06	3.80457e-13	2.94161	2.78061e+06
NODE_76	3.1357e-06	1.12735e-12	8.72193	2.78149e+06
NODE_77	2.51206e-06	9.03607e-13	6.98363	2.78004e+06
NODE_78	1.3996e-06	5.03176e-13	3.89305	2.78154e+06
NODE_79	1.77306e-06	6.37593e-13	4.93062	2.78086e+06
NODE_80	5.32166e-06	1.91364e-12	14.799	2.7809e+06
NODE_81	4.86026e-06	1.74715e-12	13.5203	2.78181e+06
NODE_82	2.52075e-05	9.40359e-12	67.5716	2.68062e+06
NODE_83	1.70496e-06	6.13348e-13	4.73937	2.77976e+06
NODE_84	7.06651e-07	2.5406e-13	1.9655	2.78143e+06
NODE_85	1.40802e-06	5.06249e-13	3.91607	2.78127e+06
NODE_86	2.08739e-05	7.51794e-12	57.9575	2.77655e+06
NODE_87	8.72548e-06	3.13927e-12	24.2521	2.77946e+06
NODE_88	1.79931e-05	6.55503e-12	49.3896	2.74492e+06
NODE_89	5.39477e-05	1.97413e-11	147.425	2.73273e+06
NODE_90	2.91069e-05	1.06801e-11	79.3266	2.72535e+06
NODE_91	4.39172e-05	1.60611e-11	120.086	2.73438e+06
NODE_92	5.29621e-05	1.93693e-11	144.816	2.73433e+06
NODE_93	2.43731e-06	8.76339e-13	6.77872	2.78124e+06
