Parameter	Posterior Mean	Posterior Variance	a_post	b_post
NODE_77	1.81358e-05	2.62758e-12	125.175	6.90209e+06
NODE_78	9.28889e-06	1.3413e-12	64.3285	6.92531e+06
NODE_79	2.07774e-05	3.04842e-12	141.614	6.81579e+06
NODE_80	2.39935e-06	3.45444e-13	16.6652	6.94571e+06
NODE_81	6.47098e-05	9.53561e-12	439.129	6.78612e+06
NODE_82	3.36309e-05	4.87926e-12	231.805	6.89262e+06
NODE_83	4.17914e-05	6.1675e-12	283.181	6.77606e+06
NODE_84	8.68143e-07	1.24964e-13	6.03111	6.94714e+06
NODE_85	1.11877e-06	1.60985e-13	7.77489	6.94951e+06
NODE_86	2.15227e-06	3.09766e-13	14.9541	6.94805e+06
NODE_87	1.43284e-06	2.06222e-13	9.95538	6.94803e+06
NODE_88	1.15416e-05	1.67309e-12	79.6178	6.89836e+06
NODE_89	2.14015e-05	3.1142e-12	147.076	6.87224e+06
NODE_90	1.82474e-05	2.64719e-12	125.781	6.89312e+06
NODE_91	1.68817e-06	2.43044e-13	11.7259	6.94593e+06
NODE_92	1.44761e-06	2.08325e-13	10.0591	6.94879e+06
NODE_93	1.25839e-06	1.81088e-13	8.74457	6.94903e+06
