Parameter	Posterior Mean	Posterior Variance	a_post	b_post
NODE_74	2.70136e-05	1.04747e-11	69.6664	2.57894e+06
NODE_75	7.60382e-07	2.92472e-13	1.97688	2.59985e+06
NODE_76	3.07047e-05	1.19083e-11	79.1697	2.57843e+06
NODE_77	1.13815e-06	4.37762e-13	2.95911	2.59993e+06
NODE_78	7.60297e-07	2.92437e-13	1.97667	2.59987e+06
NODE_79	6.72114e-05	2.61951e-11	172.451	2.5658e+06
NODE_80	5.59263e-06	2.1588e-12	14.4884	2.59062e+06
NODE_81	1.13743e-06	4.37517e-13	2.95705	2.59975e+06
NODE_82	7.6046e-07	2.92509e-13	1.97703	2.59979e+06
NODE_83	1.88981e-06	7.26921e-13	4.91302	2.59975e+06
NODE_84	7.60483e-07	2.9252e-13	1.97708	2.59977e+06
NODE_85	2.6841e-05	1.04306e-11	69.0695	2.57329e+06
NODE_86	4.8574e-05	1.89289e-11	124.647	2.56613e+06
NODE_87	1.60329e-05	6.21484e-12	41.3612	2.57977e+06
NODE_88	3.29032e-06	1.26818e-12	8.53677	2.59451e+06
NODE_89	2.66994e-05	1.03428e-11	68.9231	2.58145e+06
NODE_90	7.17662e-06	2.76906e-12	18.5998	2.59171e+06
NODE_91	2.92002e-05	1.13468e-11	75.1445	2.57342e+06
NODE_92	0.000104976	4.13247e-11	266.67	2.54028e+06
NODE_93	2.42835e-05	9.52608e-12	61.9028	2.54916e+06
