Parameter	Posterior Mean	Posterior Variance	a_post	b_post
NODE_52	7.9286e-07	1.14119e-13	5.50851	6.94764e+06
NODE_53	7.01271e-07	1.00935e-13	4.87223	6.94771e+06
NODE_54	9.81076e-07	1.41183e-13	6.81748	6.94898e+06
NODE_55	2.83533e-07	4.08035e-14	1.97019	6.94873e+06
NODE_56	1.11227e-06	1.6007e-13	7.72877	6.94864e+06
NODE_57	2.838e-06	4.08527e-13	19.7154	6.94692e+06
NODE_58	1.28572e-05	1.89497e-12	87.2348	6.7849e+06
NODE_59	4.24664e-05	6.24245e-12	288.892	6.80285e+06
NODE_60	1.78885e-05	2.60841e-12	122.68	6.85803e+06
NODE_61	2.79132e-05	4.0761e-12	191.151	6.84803e+06
NODE_62	3.53051e-05	5.12898e-12	243.021	6.88345e+06
NODE_63	1.45431e-05	2.10856e-12	100.307	6.89718e+06
NODE_64	8.9585e-07	1.2897e-13	6.22272	6.94616e+06
NODE_65	4.18812e-05	6.20129e-12	282.85	6.75363e+06
NODE_66	1.46801e-06	2.11269e-13	10.2005	6.94852e+06
NODE_67	8.57848e-06	1.2358e-12	59.5485	6.94162e+06
NODE_68	5.13518e-06	7.47336e-13	35.2854	6.87131e+06
NODE_69	3.20994e-05	4.68857e-12	219.763	6.84632e+06
NODE_70	1.92333e-06	2.76834e-13	13.3625	6.94758e+06
NODE_71	5.47319e-06	7.87701e-13	38.0295	6.94831e+06
NODE_72	6.31853e-05	9.29124e-12	429.693	6.80052e+06
NODE_73	2.26871e-05	3.31925e-12	155.066	6.835e+06
NODE_74	1.50709e-05	2.19329e-12	103.558	6.87137e+06
NODE_75	1.27942e-06	1.84271e-13	8.88324	6.94317e+06
NODE_76	4.2923e-05	6.24329e-12	295.099	6.87507e+06
NODE_77	1.81355e-05	2.62754e-12	125.173	6.90209e+06
NODE_78	9.28867e-06	1.34126e-12	64.3269	6.92531e+06
NODE_79	2.07767e-05	3.04833e-12	141.61	6.81578e+06
NODE_80	2.39932e-06	3.45439e-13	16.665	6.94571e+06
NODE_81	6.47082e-05	9.53539e-12	439.117	6.78611e+06
NODE_82	3.36303e-05	4.87918e-12	231.801	6.89262e+06
NODE_83	4.17894e-05	6.16722e-12	283.167	6.77605e+06
NODE_84	8.68128e-07	1.24962e-13	6.03101	6.94714e+06
NODE_85	1.11877e-06	1.60986e-13	7.77492	6.94951e+06
NODE_86	2.15226e-06	3.09764e-13	14.954	6.94805e+06
NODE_87	1.43284e-06	2.06222e-13	9.95541	6.94803e+06
NODE_88	1.15414e-05	1.67306e-12	79.6164	6.89836e+06
NODE_89	2.14008e-05	3.11409e-12	147.071	6.87224e+06
NODE_90	1.8247e-05	2.64713e-12	125.778	6.89312e+06
NODE_91	1.68817e-06	2.43045e-13	11.7259	6.94593e+06
NODE_92	1.44759e-06	2.08323e-13	10.059	6.94879e+06
NODE_93	1.25839e-06	1.81089e-13	8.7446	6.94903e+06
